similarity,sentence1,sentence2
0,Mọi hành vi vi phạm Luật giao thông đường bộ được xử lý như thế nào,đèn vàng có chức năng gì 
1,Người lái xe đang điều khiển xe trên đường mà trong máu có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm,hãy cho biết người lái xe đang điều khiển xe trên đường mà trong máu có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm
1,Người lái xe đang điều khiển xe trên đường mà trong máu có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm,hãy tìm hiểu người lái xe đang điều khiển xe trên đường mà trong máu có nồng độ cồn vượt quá bao nhiêu thì bị phạt theo quy định 
0,Người lái xe đang điều khiển xe trên đường mà trong máu có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm,đèn cao áp quy định độ cao như thế nào 
0,Người lái xe đang điều khiển xe trên đường mà trong máu có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm,tại sao không được mở cửa thoát hiểm mấy bay khi không cần thiết 
1,Người lái xe đang điều khiển xe trên đường mà trong khí thở có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm,hãy tìm hiểu người lái xe đang điều khiển xe trên đường mà trong khí thở có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm
1,Người lái xe đang điều khiển xe trên đường mà trong khí thở có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm,Người lái xe đang điều khiển xe trên đường mà trong khí thở có nồng độ cồn vượt quá quy định cho phép thì xử lý thế nào 
0,Người lái xe đang điều khiển xe trên đường mà trong khí thở có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm,không uống rượu có nồng độ cao thì có được lái xe không 
0,Người lái xe đang điều khiển xe trên đường mà trong khí thở có nồng độ cồn vượt quá bao nhiêu thì bị nghiêm cấm,hỏng xe trên đường cao tốc thì phải làm thế nào 
1,Người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông,hãy cho biết người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông
1,Người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông,Người tham gia giao thông đi đúng làn đường dành cho phương tiện mình đang sử dụng có đúng quy tắc giao thông không
0,Người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông,đi qua đường biên giới như thế nào 
0,Người tham gia giao thông phải đi như thế nào là đúng quy tắc giao thông,Quy tắc giao thông quy định như thế nào 
1,Biển báo hiệu đường bộ gồm những nhóm nào ý nghĩa của từng nhóm,hãy cho biết biển báo hiệu đường bộ gồm những nhóm nào ý nghĩa của từng nhóm
1,Biển báo hiệu đường bộ gồm những nhóm nào ý nghĩa của từng nhóm,hãy liệt kê những nhóm biển báo hiệu đường ý nghĩa của từng nhóm là gì 
0,Biển báo hiệu đường bộ gồm những nhóm nào ý nghĩa của từng nhóm,xả rác bừa bãi ra đường bị phạt bao nhiêu 
0,Biển báo hiệu đường bộ gồm những nhóm nào ý nghĩa của từng nhóm,vì sao không được tự ý cản trở giao thông 
1,Người lái xe phải làm gì khi điều kiển xe vào đường cao tốc,hãy cho biết người lái xe phải làm gì khi điều kiển xe vào đường cao tốc
1,Người lái xe phải làm gì khi điều kiển xe vào đường cao tốc,người lái xe phải điều kiển xe vào đường cao tốc như thế nào 
0,Người lái xe phải làm gì khi điều kiển xe vào đường cao tốc,những loại xe nào được di chuyển trên đường cao tốc 
0,Người lái xe phải làm gì khi điều kiển xe vào đường cao tốc,xe đạp có được đi trên đường cao tốc không 
1,Người lái xe phải làm gì khi điều kiển xe ra khỏi đường cao tốc,hãy cho biết người lái xe phải làm gì khi điều kiển xe ra khỏi đường cao tốc
1,Người lái xe phải làm gì khi điều kiển xe ra khỏi đường cao tốc,người lái xe phải điều kiển xe ra khỏi đường cao tốc như thế nào 
0,Người lái xe phải làm gì khi điều kiển xe ra khỏi đường cao tốc,đi đường cao tốc có nhanh hơn đi đường quốc lộ không 
0,Người lái xe phải làm gì khi điều kiển xe ra khỏi đường cao tốc,đi bằng đường nào là nhanh nhất 
1,Khi điều khiển xe trên đường cao tốc những việc làm nào không cho phép,hãy cho biết khi điều khiển xe trên đường cao tốc những việc làm nào không cho phép
1,Khi điều khiển xe trên đường cao tốc những việc làm nào không cho phép,Khi điều khiển xe trên đường cao tốc những việc làm không cho phép là những việc gì 
0,Khi điều khiển xe trên đường cao tốc những việc làm nào không cho phép,đi quá sát xe đầu kéo thì xảy ra chuyện gì 
0,Khi điều khiển xe trên đường cao tốc những việc làm nào không cho phép,rẽ không xi nhan thì sao 
1,Người điều khiển phưong tiện tham gia giao thông trong hầm đường bộ phải tuân thủ những điểm gì là đúng quy tắc giao thông,hãy cho biết người điều khiển phưong tiện tham gia giao thông trong hầm đường bộ phải tuân thủ những điểm gì là đúng quy tắc giao thông
1,Người điều khiển phưong tiện tham gia giao thông trong hầm đường bộ phải tuân thủ những điểm gì là đúng quy tắc giao thông,hãy kể rõ những điểm đúng quy tắc giao thông cho người điều khiển phưong tiện tham gia giao thông trong hầm đường bộ
0,Người điều khiển phưong tiện tham gia giao thông trong hầm đường bộ phải tuân thủ những điểm gì là đúng quy tắc giao thông,cầu vượt dành cho những loại phương tiện giao thông nào
0,Người điều khiển phưong tiện tham gia giao thông trong hầm đường bộ phải tuân thủ những điểm gì là đúng quy tắc giao thông,ô tô có được đi trên cầu vượt không 
1,Trường hợp xe kéo xe và kéo rơmoóc những hành vi nào bị cấm,hãy cho biết trường hợp xe kéo xe và kéo rơmoóc những hành vi nào bị cấm
1,Trường hợp xe kéo xe và kéo rơmoóc những hành vi nào bị cấm,Trường hợp xe kéo xe hay kéo rơmoóc bị cấm
0,Trường hợp xe kéo xe và kéo rơmoóc những hành vi nào bị cấm,luật giao thông có chứa luật cấm đi xe máy quá cũ không 
0,Trường hợp xe kéo xe và kéo rơmoóc những hành vi nào bị cấm,dùng còi ô tô lắp vào còi xe máy có vi phạm pháp luật không 
1,Người tham gia giao thông khi phát hiện công trình đường bộ bị hư hỏng hoặc bị xâm hại phải có những nghĩa vụ gì,hãy cho biết người tham gia giao thông khi phát hiện công trình đường bộ bị hư hỏng hoặc bị xâm hại phải có những nghĩa vụ gì
1,Người tham gia giao thông khi phát hiện công trình đường bộ bị hư hỏng hoặc bị xâm hại phải có những nghĩa vụ gì,Người tham gia giao thông cần phải làm gì khi phát hiện công trình đường bộ bị hư hỏng hoặc bị xâm hại
0,Người tham gia giao thông khi phát hiện công trình đường bộ bị hư hỏng hoặc bị xâm hại phải có những nghĩa vụ gì,tại sao xe buýt không được chở quá số người quy định 
0,Người tham gia giao thông khi phát hiện công trình đường bộ bị hư hỏng hoặc bị xâm hại phải có những nghĩa vụ gì,xe máy chở 5 người trở lên thì sao 
1,Các xe tham gia giao thông đường bộ phi bảo đảm các tiêu chuẩn chất lượng an toàn kỹ thuật bảo vệ môi trường nào trong các điều ghi dưới đây,hãy cho biết các xe tham gia giao thông đường bộ phi bảo đảm các tiêu chuẩn chất lượng an toàn kỹ thuật bảo vệ môi trường nào trong các điều ghi dưới đây
1,Các xe tham gia giao thông đường bộ phi bảo đảm các tiêu chuẩn chất lượng an toàn kỹ thuật bảo vệ môi trường nào trong các điều ghi dưới đây,trong các điều dưới đây các xe tham gia giao thông đường bộ phải bảo đảm các tiêu chuẩn chất lượng an toàn kỹ thuật bảo vệ môi trường nào 
0,Các xe tham gia giao thông đường bộ phi bảo đảm các tiêu chuẩn chất lượng an toàn kỹ thuật bảo vệ môi trường nào trong các điều ghi dưới đây,đi ở đoạn đường tối cần làm gì 
0,Các xe tham gia giao thông đường bộ phi bảo đảm các tiêu chuẩn chất lượng an toàn kỹ thuật bảo vệ môi trường nào trong các điều ghi dưới đây,nên làm gì để tránh va chạm khi đi trong đường ngõ
1,Chủ xe và người lái xe bánh xích xe quá khổ quá tải có trách nhiệm gì khi cho xe tham gia giao thông đường bộ,hãy cho biết chủ xe và người lái xe bánh xích xe quá khổ quá tải có trách nhiệm gì khi cho xe tham gia giao thông đường bộ
1,Chủ xe và người lái xe bánh xích xe quá khổ quá tải có trách nhiệm gì khi cho xe tham gia giao thông đường bộ,nêu trách nhiệm của hủ xe và người lái xe bánh xích xe quá khổ quá tải khi cho xe tham gia giao thông đường bộ
0,Chủ xe và người lái xe bánh xích xe quá khổ quá tải có trách nhiệm gì khi cho xe tham gia giao thông đường bộ,đường quá nhiều ổ gà có thể gây ra những hậu quả gì 
0,Chủ xe và người lái xe bánh xích xe quá khổ quá tải có trách nhiệm gì khi cho xe tham gia giao thông đường bộ,chất lượng đường giao thông kém có gây tai nạn không 
1,những hành vi nào sau đây bị cấm,hãy cho biết những hành vi nào sau đây bị cấm
1,những hành vi nào sau đây bị cấm,những hành vi sau đây bị cấm có bị cấm không 
0,những hành vi nào sau đây bị cấm,pháp luật có cấm vận chuyển hàng qua biên giới không 
0,những hành vi nào sau đây bị cấm,kiện hàng được gửi tới từ nước ngoài được xử lý như thế nào 
1,các hành vi nào sau đây bị nghiêm cấm,hãy cho biết các hành vi nào sau đây bị nghiêm cấm
1,các hành vi nào sau đây bị nghiêm cấm,các hành vi sau đây có bị nghiêm cấm hay không 
0,các hành vi nào sau đây bị nghiêm cấm,vứt rác bừa bãi ra đường có thể gây ra những hậu quả gì 
0,các hành vi nào sau đây bị nghiêm cấm,khi xảy ra tắc nghẽn giao thông thì phải làm thế nào 
1,trong hoạt động vận tải đường bộ các hành vi nào sau đây bị nghiêm cấm,trong hoạt động vận tài hành khách những hành vi bị cấm
1,trong hoạt động vận tải đường bộ các hành vi nào sau đây bị nghiêm cấm,trong hoạt động vận tải đường bộ các hành vi sau đây có bị nghiêm cấm hay không 
0,trong hoạt động vận tải đường bộ các hành vi nào sau đây bị nghiêm cấm,người tham gia giao thông cần lưu ý gì khi lái xe 
0,trong hoạt động vận tải đường bộ các hành vi nào sau đây bị nghiêm cấm,tại sao cần đem theo giấy tờ xe khi tham gia giao thông 
1,trong hoạt động vận tài hành khách những hành vi bị cấm,hãy cho biết trong hoạt động vận tài hành khách những hành vi bị cấm
1,trong hoạt động vận tài hành khách những hành vi bị cấm,trong hoạt động vận tài hành khách hãy chỉ rõ những hành vi bị cấm là hành vi nào
0,trong hoạt động vận tài hành khách những hành vi bị cấm,đi bộ ở làn đường nào là đúng 
0,trong hoạt động vận tài hành khách những hành vi bị cấm,đi xe không phanh có thể gây ra những hậu quả gì 
1,hành vi bỏ trốn sau khi gây tai nạn để trốn tránh trách nhiệm hoặc khi có điều kiện mà cố ý không cứu giúp,hãy cho biết hành vi bỏ trốn sau khi gây tai nạn để trốn tránh trách nhiệm hoặc khi có điều kiện mà cố ý không cứu giúp thì bị xử phạt như thế nào 
1,hành vi bỏ trốn sau khi gây tai nạn để trốn tránh trách nhiệm hoặc khi có điều kiện mà cố ý không cứu giúp,hành vi bỏ trốn sau khi gây tai nạn để trốn tránh trách nhiệm hoặc khi có điều kiện mà cố ý không cứu giúp có bị truy tố hình sự hay không 
0,hành vi bỏ trốn sau khi gây tai nạn để trốn tránh trách nhiệm hoặc khi có điều kiện mà cố ý không cứu giúp,bộ luật giao thông đường hàng không quy định như thế nào 
0,hành vi bỏ trốn sau khi gây tai nạn để trốn tránh trách nhiệm hoặc khi có điều kiện mà cố ý không cứu giúp,ngồi trên ô tô có phải thắt dây an toàn không 
1,sau khi xảy ra tai nạn giao thông những hành vi bị nghiêm cấm,hãy cho biết sau khi xảy ra tai nạn giao thông những hành vi bị nghiêm cấm là hành vi nào 
1,sau khi xảy ra tai nạn giao thông những hành vi bị nghiêm cấm,sau khi xảy ra tai nạn giao thông những hành vi bị nghiêm cấm thuộc điều bao nhiêu và khoản nào 
0,sau khi xảy ra tai nạn giao thông những hành vi bị nghiêm cấm,vô tình gây tai nạn thì có bị truy tố hình sự không 
0,sau khi xảy ra tai nạn giao thông những hành vi bị nghiêm cấm,cố ý gây tai nạn thì bị xử phạt như thế nào 
1,hành vi sử dụng lòng đường lè đường trái phép sử dụng hè phố trái phép có bị nghiêm cấm không,hãy cho biết hành vi sử dụng lòng đường lè đường trái phép sử dụng hè phố trái phép có bị nghiêm cấm không
1,hành vi sử dụng lòng đường lè đường trái phép sử dụng hè phố trái phép có bị nghiêm cấm không,hành vi sử dụng lòng đường lè đường trái phép sử dụng hè phố trái phép bị nghiêm cấm như thế nào 
0,hành vi sử dụng lòng đường lè đường trái phép sử dụng hè phố trái phép có bị nghiêm cấm không,loại phương tiện nào không được phép sử dụng trên đường giao thông 
0,hành vi sử dụng lòng đường lè đường trái phép sử dụng hè phố trái phép có bị nghiêm cấm không,điều khiển xe máy không có biển số thì sao 
1,việc sản xuất mua bán sử dụng biển số xe cơ giới xe máy chuyên dùng được quy định như thế nào trong luật giao thông đường bộ,hãy cho biết việc sản xuất mua bán sử dụng biển số xe cơ giới xe máy chuyên dùng được quy định như thế nào trong luật giao thông đường bộ
1,việc sản xuất mua bán sử dụng biển số xe cơ giới xe máy chuyên dùng được quy định như thế nào trong luật giao thông đường bộ,việc sản xuất mua bán sử dụng biển số xe cơ giới xe máy chuyên dùng có được quy định trong luật giao thông đường bộ không 
0,việc sản xuất mua bán sử dụng biển số xe cơ giới xe máy chuyên dùng được quy định như thế nào trong luật giao thông đường bộ,làm biển số xe giả thì bị phạt bao nhiêu 
0,việc sản xuất mua bán sử dụng biển số xe cơ giới xe máy chuyên dùng được quy định như thế nào trong luật giao thông đường bộ,đăng ký biển số xe như thế nào 
1,người lái xe không được vượt xe khác khi gặp những trường hợp nào,hãy tìm hiểu người lái xe không được vượt xe khác khi gặp những trường hợp nào
1,người lái xe không được vượt xe khác khi gặp những trường hợp nào,trong những trường hợp nào thì người lái xe không được vượt xe khác 
0,người lái xe không được vượt xe khác khi gặp những trường hợp nào,vượt xe khác mà không có tín hiệu báo trước thì có thể xảy ra chuyện gì 
0,người lái xe không được vượt xe khác khi gặp những trường hợp nào,quy định về tốc độ khi tham gia giao thông như thế nào 
1,ở những nơi nào không được quay đầu xe,hãy cho biết ở những nơi nào không được quay đầu xe
1,ở những nơi nào không được quay đầu xe,những nơi không được quay đầu xe được quy định như thế nào 
0,ở những nơi nào không được quay đầu xe,gửi xe ở đâu là đúng luật 
0,ở những nơi nào không được quay đầu xe,đỗ xe tại khu vực cấm thì bị phạt bao nhiêu 
1,ở những nơi nào không được lùi xe,hãy cho biết ở những nơi nào không được lùi xe
1,ở những nơi nào không được lùi xe,luật pháp quy định những nơi không được lùi xe như thế nào 
0,ở những nơi nào không được lùi xe,lấn chiếm vỉa hè thì bị phạt bao nhiêu 
0,ở những nơi nào không được lùi xe,biển số xe màu vàng dành cho những đơn vị nào 
1,khi điều khiển xe trên đường cao tốc có được cho xe chạy ở làn dừng xe khẩn cấp và phần lề đường quay đầu xe cho xe chạy quá tốc độ tối đa và dưới tốc độ tối thiểu ghi trên biển báo sơn trên mặt đường không,khi điều khiển xe trên đường cao tốc xe chạy ở làn dừng xe khẩn cấp và phần lề đường quay đầu xe cho xe chạy quá tốc độ tối đa và dưới tốc độ tối thiểu ghi trên biển báo sơn trên mặt đường có được chạy không 
1,khi điều khiển xe trên đường cao tốc có được cho xe chạy ở làn dừng xe khẩn cấp và phần lề đường quay đầu xe cho xe chạy quá tốc độ tối đa và dưới tốc độ tối thiểu ghi trên biển báo sơn trên mặt đường không,hãy cho biết khi điều khiển xe trên đường cao tốc có được cho xe chạy ở làn dừng xe khẩn cấp và phần lề đường quay đầu xe cho xe chạy quá tốc độ tối đa và dưới tốc độ tối thiểu ghi trên biển báo sơn trên mặt đường không
0,khi điều khiển xe trên đường cao tốc có được cho xe chạy ở làn dừng xe khẩn cấp và phần lề đường quay đầu xe cho xe chạy quá tốc độ tối đa và dưới tốc độ tối thiểu ghi trên biển báo sơn trên mặt đường không,sử dụng vỉa hè như thế nào là đúng 
0,khi điều khiển xe trên đường cao tốc có được cho xe chạy ở làn dừng xe khẩn cấp và phần lề đường quay đầu xe cho xe chạy quá tốc độ tối đa và dưới tốc độ tối thiểu ghi trên biển báo sơn trên mặt đường không,đất vỉa hè thuộc sở hữu của tư nhân hay của nhà nước 
1,điều khiển phương tiện giao thông trên đường phố có được dừng xe đỗ xe trên đường xe điện trên miệng cống thoát nước miệng hầm của đường điện thoại điện cao thế chỗ dành riêng cho xe chữa cháy lấy nước không,hãy cho biết điều khiển phương tiện giao thông trên đường phố có được dừng xe đỗ xe trên đường xe điện trên miệng cống thoát nước miệng hầm của đường điện thoại điện cao thế chỗ dành riêng cho xe chữa cháy lấy nước không
1,điều khiển phương tiện giao thông trên đường phố có được dừng xe đỗ xe trên đường xe điện trên miệng cống thoát nước miệng hầm của đường điện thoại điện cao thế chỗ dành riêng cho xe chữa cháy lấy nước không,có được dừng đỗ xe điều khiển khi phương tiện giao thông trên đường phố trên đường xe điện trên miệng cống thoát nước miệng hầm của đường điện thoại điện cao thế chỗ dành riêng cho xe chữa cháy lấy nước không
0,điều khiển phương tiện giao thông trên đường phố có được dừng xe đỗ xe trên đường xe điện trên miệng cống thoát nước miệng hầm của đường điện thoại điện cao thế chỗ dành riêng cho xe chữa cháy lấy nước không,ánh sáng đèn xe được quy định như thế nào 
0,điều khiển phương tiện giao thông trên đường phố có được dừng xe đỗ xe trên đường xe điện trên miệng cống thoát nước miệng hầm của đường điện thoại điện cao thế chỗ dành riêng cho xe chữa cháy lấy nước không,còi xe được quy định như thế nào 
1,khi xe kéo xe và xe kéo ro mooc có được phép kéo thêm ro mooc hoặc xe khác hoặc chở người trên xe được kéo kéo theo xe thô sơ xe gắn máy xe mô tô không,hãy cho biết khi xe kéo xe và xe kéo ro mooc có được phép kéo thêm ro mooc hoặc xe khác hoặc chở người trên xe được kéo kéo theo xe thô sơ xe gắn máy xe mô tô không
1,khi xe kéo xe và xe kéo ro mooc có được phép kéo thêm ro mooc hoặc xe khác hoặc chở người trên xe được kéo kéo theo xe thô sơ xe gắn máy xe mô tô không,khi xe kéo xe và xe kéo ro mooc mà kéo thêm ro mooc hoặc xe khác hoặc chở người trên xe được kéo kéo theo xe thô sơ xe gắn máy xe mô tô thì là đúng hay sai luật 
0,khi xe kéo xe và xe kéo ro mooc có được phép kéo thêm ro mooc hoặc xe khác hoặc chở người trên xe được kéo kéo theo xe thô sơ xe gắn máy xe mô tô không,trong trường hợp nào cảnh sát giao thông được phép thu giữ phương tiện của người vi phạm 
0,khi xe kéo xe và xe kéo ro mooc có được phép kéo thêm ro mooc hoặc xe khác hoặc chở người trên xe được kéo kéo theo xe thô sơ xe gắn máy xe mô tô không,cảnh sát giao thông có được phép thu tiền phạt của người vi phạm không 
1,người điều khiển xe mô tô hai bánh ba bánh xe gắn máy có được phép sử dụng xe để kéo đẩy các xe khác vật khác khi tham gia giao thông không,hãy cho biết người điều khiển xe mô tô hai bánh ba bánh xe gắn máy có được phép sử dụng xe để kéo đẩy các xe khác vật khác khi tham gia giao thông không
1,người điều khiển xe mô tô hai bánh ba bánh xe gắn máy có được phép sử dụng xe để kéo đẩy các xe khác vật khác khi tham gia giao thông không,trong trường hợp nào người điều khiển xe mô tô hai bánh ba bánh xe gắn máy có được phép sử dụng xe để kéo đẩy các xe khác vật khác khi tham gia giao thông 
0,người điều khiển xe mô tô hai bánh ba bánh xe gắn máy có được phép sử dụng xe để kéo đẩy các xe khác vật khác khi tham gia giao thông không,loại phương tiện giao thông nào được phép vượt đèn đỏ 
